Periode,Wilayah,Kode Wilayah,Kota/Kab,Kode Kota/Kab,Status Sekolah,Baik,Rusak Ringan,Rusak Sedang,Rusak Berat,Total Rusak,Jumlah
2021,PROV. ACEH,11,KAB. ACEH SELATAN,1101,Negeri,85,200,0,0,285,285
2021,PROV. ACEH,11,KAB. ACEH SELATAN,1101,Negeri dan Swasta,89,211,0,0,300,300
2021,PROV. ACEH,11,KAB. ACEH SELATAN,1101,Swasta,4,11,0,0,15,15
2021,PROV. ACEH,11,KAB. ACEH TENGGARA,1102,Negeri dan Swasta,67,198,0,0,265,265
2021,PROV. ACEH,11,KAB. ACEH TENGGARA,1102,Negeri,44,170,0,0,214,214
2021,PROV. ACEH,11,KAB. ACEH TENGGARA,1102,Swasta,23,28,0,0,51,51
2021,PROV. ACEH,11,KAB. ACEH TIMUR,1103,Negeri dan Swasta,125,209,0,0,334,334
2021,PROV. ACEH,11,KAB. ACEH TIMUR,1103,Negeri,117,206,0,0,323,323
2021,PROV. ACEH,11,KAB. ACEH TIMUR,1103,Swasta,8,3,0,0,11,11
2021,PROV. ACEH,11,KAB. ACEH TENGAH,1104,Swasta,11,3,0,0,14,14
2021,PROV. ACEH,11,KAB. ACEH TENGAH,1104,Negeri,77,152,0,0,229,229
2021,PROV. ACEH,11,KAB. ACEH TENGAH,1104,Negeri dan Swasta,88,155,0,0,243,243
2021,PROV. ACEH,11,KAB. ACEH BARAT,1105,Negeri,58,178,2,0,238,238
2021,PROV. ACEH,11,KAB. ACEH BARAT,1105,Swasta,8,10,0,0,18,18
2021,PROV. ACEH,11,KAB. ACEH BARAT,1105,Negeri dan Swasta,66,188,2,0,256,256
2021,PROV. ACEH,11,KAB. ACEH BESAR,1106,Swasta,32,34,0,0,66,66
2021,PROV. ACEH,11,KAB. ACEH BESAR,1106,Negeri,106,196,0,0,302,302
2021,PROV. ACEH,11,KAB. ACEH BESAR,1106,Negeri dan Swasta,138,230,0,0,368,368
2021,PROV. ACEH,11,KAB. PIDIE,1107,Swasta,16,11,0,0,27,27
2021,PROV. ACEH,11,KAB. PIDIE,1107,Negeri dan Swasta,172,245,0,0,417,417
2021,PROV. ACEH,11,KAB. PIDIE,1107,Negeri,156,234,0,0,390,390
2021,PROV. ACEH,11,KAB. ACEH UTARA,1108,Negeri,241,257,0,0,498,498
2021,PROV. ACEH,11,KAB. ACEH UTARA,1108,Negeri dan Swasta,293,283,0,0,576,576
2021,PROV. ACEH,11,KAB. ACEH UTARA,1108,Swasta,52,26,0,0,78,78
2021,PROV. ACEH,11,KAB. SIMEULUE,1109,Negeri,65,162,0,0,227,227
2021,PROV. ACEH,11,KAB. SIMEULUE,1109,Swasta,2,2,0,0,4,4
2021,PROV. ACEH,11,KAB. SIMEULUE,1109,Negeri dan Swasta,67,164,0,0,231,231
2021,PROV. ACEH,11,KAB. ACEH SINGKIL,1110,Negeri dan Swasta,94,115,0,0,209,209
2021,PROV. ACEH,11,KAB. ACEH SINGKIL,1110,Swasta,10,10,0,0,20,20
2021,PROV. ACEH,11,KAB. ACEH SINGKIL,1110,Negeri,84,105,0,0,189,189
2021,PROV. ACEH,11,KAB. BIREUEN,1111,Swasta,24,27,1,0,52,52
2021,PROV. ACEH,11,KAB. BIREUEN,1111,Negeri,102,229,1,0,332,332
2021,PROV. ACEH,11,KAB. BIREUEN,1111,Negeri dan Swasta,126,256,2,0,384,384
2021,PROV. ACEH,11,KAB. ACEH BARAT DAYA,1112,Negeri dan Swasta,74,105,0,0,179,179
2021,PROV. ACEH,11,KAB. ACEH BARAT DAYA,1112,Negeri,70,98,0,0,168,168
2021,PROV. ACEH,11,KAB. ACEH BARAT DAYA,1112,Swasta,4,7,0,0,11,11
2021,PROV. ACEH,11,KAB. GAYO LUES,1113,Negeri,40,97,0,0,137,137
2021,PROV. ACEH,11,KAB. GAYO LUES,1113,Negeri dan Swasta,48,101,0,0,149,149
2021,PROV. ACEH,11,KAB. GAYO LUES,1113,Swasta,8,4,0,0,12,12
2021,PROV. ACEH,11,KAB. ACEH JAYA,1114,Negeri,51,109,0,0,160,160
2021,PROV. ACEH,11,KAB. ACEH JAYA,1114,Negeri dan Swasta,54,117,0,0,171,171
2021,PROV. ACEH,11,KAB. ACEH JAYA,1114,Swasta,3,8,0,0,11,11
2021,PROV. ACEH,11,KAB. NAGAN RAYA,1115,Swasta,1,7,0,0,8,8
2021,PROV. ACEH,11,KAB. NAGAN RAYA,1115,Negeri,80,125,0,0,205,205
2021,PROV. ACEH,11,KAB. NAGAN RAYA,1115,Negeri dan Swasta,81,132,0,0,213,213
2021,PROV. ACEH,11,KAB. ACEH TAMIANG,1116,Negeri,120,137,0,0,257,257
2021,PROV. ACEH,11,KAB. ACEH TAMIANG,1116,Negeri dan Swasta,134,150,0,0,284,284
2021,PROV. ACEH,11,KAB. ACEH TAMIANG,1116,Swasta,14,13,0,0,27,27
2021,PROV. ACEH,11,KAB. BENER MERIAH,1117,Negeri,87,100,0,0,187,187
2021,PROV. ACEH,11,KAB. BENER MERIAH,1117,Negeri dan Swasta,102,101,0,0,203,203
2021,PROV. ACEH,11,KAB. BENER MERIAH,1117,Swasta,15,1,0,0,16,16
2021,PROV. ACEH,11,KAB. PIDIE JAYA,1118,Swasta,10,8,0,0,18,18
2021,PROV. ACEH,11,KAB. PIDIE JAYA,1118,Negeri,89,53,0,0,142,142
2021,PROV. ACEH,11,KAB. PIDIE JAYA,1118,Negeri dan Swasta,99,61,0,0,160,160
2021,PROV. ACEH,11,KOTA BANDA ACEH,1171,Swasta,34,16,0,0,50,50
2021,PROV. ACEH,11,KOTA BANDA ACEH,1171,Negeri dan Swasta,94,78,0,0,172,172
2021,PROV. ACEH,11,KOTA BANDA ACEH,1171,Negeri,60,62,0,0,122,122
2021,PROV. ACEH,11,KOTA SABANG,1172,Swasta,2,0,0,0,2,2
2021,PROV. ACEH,11,KOTA SABANG,1172,Negeri dan Swasta,10,29,0,0,39,39
2021,PROV. ACEH,11,KOTA SABANG,1172,Negeri,8,29,0,0,37,37
2021,PROV. ACEH,11,KOTA LHOKSEUMAWE,1173,Negeri dan Swasta,69,63,0,0,132,132
2021,PROV. ACEH,11,KOTA LHOKSEUMAWE,1173,Swasta,25,10,0,0,35,35
2021,PROV. ACEH,11,KOTA LHOKSEUMAWE,1173,Negeri,44,53,0,0,97,97
2021,PROV. ACEH,11,KOTA LANGSA,1174,Negeri,40,49,0,0,89,89
2021,PROV. ACEH,11,KOTA LANGSA,1174,Swasta,11,12,0,0,23,23
2021,PROV. ACEH,11,KOTA LANGSA,1174,Negeri dan Swasta,51,61,0,0,112,112
2021,PROV. ACEH,11,KOTA SUBULUSSALAM,1175,Swasta,3,12,0,0,15,15
2021,PROV. ACEH,11,KOTA SUBULUSSALAM,1175,Negeri,55,76,0,0,131,131
2021,PROV. ACEH,11,KOTA SUBULUSSALAM,1175,Negeri dan Swasta,58,88,0,0,146,146
2021,PROV. SUMATERA UTARA,12,KAB. TAPANULI TENGAH,1201,Swasta,27,23,0,0,50,50
2021,PROV. SUMATERA UTARA,12,KAB. TAPANULI TENGAH,1201,Negeri dan Swasta,120,217,0,0,337,337
2021,PROV. SUMATERA UTARA,12,KAB. TAPANULI TENGAH,1201,Negeri,93,194,0,0,287,287
2021,PROV. SUMATERA UTARA,12,KAB. TAPANULI UTARA,1202,Negeri,106,140,0,0,246,246
2021,PROV. SUMATERA UTARA,12,KAB. TAPANULI UTARA,1202,Negeri dan Swasta,121,160,0,0,281,281
2021,PROV. SUMATERA UTARA,12,KAB. TAPANULI UTARA,1202,Swasta,15,20,0,0,35,35
2021,PROV. SUMATERA UTARA,12,KAB. TAPANULI SELATAN,1203,Swasta,5,9,0,0,14,14
2021,PROV. SUMATERA UTARA,12,KAB. TAPANULI SELATAN,1203,Negeri dan Swasta,73,143,0,0,216,216
2021,PROV. SUMATERA UTARA,12,KAB. TAPANULI SELATAN,1203,Negeri,68,134,0,0,202,202
2021,PROV. SUMATERA UTARA,12,KAB. NIAS,1204,Negeri,77,153,0,0,230,230
2021,PROV. SUMATERA UTARA,12,KAB. NIAS,1204,Swasta,8,4,0,0,12,12
2021,PROV. SUMATERA UTARA,12,KAB. NIAS,1204,Negeri dan Swasta,85,157,0,0,242,242
2021,PROV. SUMATERA UTARA,12,KAB. LANGKAT,1205,Negeri,150,260,0,0,410,410
2021,PROV. SUMATERA UTARA,12,KAB. LANGKAT,1205,Swasta,105,126,0,0,231,231
2021,PROV. SUMATERA UTARA,12,KAB. LANGKAT,1205,Negeri dan Swasta,255,386,0,0,641,641
2021,PROV. SUMATERA UTARA,12,KAB. KARO,1206,Negeri dan Swasta,155,223,0,0,378,378
2021,PROV. SUMATERA UTARA,12,KAB. KARO,1206,Negeri,116,183,0,0,299,299
2021,PROV. SUMATERA UTARA,12,KAB. KARO,1206,Swasta,39,40,0,0,79,79
2021,PROV. SUMATERA UTARA,12,KAB. DELI SERDANG,1207,Negeri dan Swasta,744,562,1,0,1307,1307
2021,PROV. SUMATERA UTARA,12,KAB. DELI SERDANG,1207,Swasta,414,248,1,0,663,663
2021,PROV. SUMATERA UTARA,12,KAB. DELI SERDANG,1207,Negeri,330,314,0,0,644,644
2021,PROV. SUMATERA UTARA,12,KAB. SIMALUNGUN,1208,Negeri,194,257,0,0,451,451
2021,PROV. SUMATERA UTARA,12,KAB. SIMALUNGUN,1208,Negeri dan Swasta,281,356,0,0,637,637
2021,PROV. SUMATERA UTARA,12,KAB. SIMALUNGUN,1208,Swasta,87,99,0,0,186,186
2021,PROV. SUMATERA UTARA,12,KAB. ASAHAN,1209,Negeri,129,190,1,0,320,320
2021,PROV. SUMATERA UTARA,12,KAB. ASAHAN,1209,Swasta,71,49,0,0,120,120
2021,PROV. SUMATERA UTARA,12,KAB. ASAHAN,1209,Negeri dan Swasta,200,239,1,0,440,440
2021,PROV. SUMATERA UTARA,12,KAB. LABUHANBATU,1210,Swasta,56,28,0,0,84,84
2021,PROV. SUMATERA UTARA,12,KAB. LABUHANBATU,1210,Negeri,92,139,0,0,231,231
2021,PROV. SUMATERA UTARA,12,KAB. LABUHANBATU,1210,Negeri dan Swasta,148,167,0,0,315,315
2021,PROV. SUMATERA UTARA,12,KAB. DAIRI,1211,Negeri,114,175,0,0,289,289
2021,PROV. SUMATERA UTARA,12,KAB. DAIRI,1211,Swasta,23,29,0,0,52,52
2021,PROV. SUMATERA UTARA,12,KAB. DAIRI,1211,Negeri dan Swasta,137,204,0,0,341,341
2021,PROV. SUMATERA UTARA,12,KAB. TOBA,1212,Negeri,78,167,0,0,245,245
2021,PROV. SUMATERA UTARA,12,KAB. TOBA,1212,Negeri dan Swasta,89,185,0,0,274,274
2021,PROV. SUMATERA UTARA,12,KAB. TOBA,1212,Swasta,11,18,0,0,29,29
2021,PROV. SUMATERA UTARA,12,KAB. MANDAILING NATAL,1213,Swasta,15,11,0,0,26,26
2021,PROV. SUMATERA UTARA,12,KAB. MANDAILING NATAL,1213,Negeri,140,209,0,0,349,349
2021,PROV. SUMATERA UTARA,12,KAB. MANDAILING NATAL,1213,Negeri dan Swasta,155,220,0,0,375,375
2021,PROV. SUMATERA UTARA,12,KAB. NIAS SELATAN,1214,Negeri,122,232,1,0,355,355
